file	line	test	site	outcome	reason	detail
server/cmd/server/activity_listeners_test.go	89	TestActivityIssueCreated_AutopilotMapPayload	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 133
server/cmd/server/autopilot_actor_forgery_test.go	71	TestAutopilotWritesIgnoreForgedAgentIdentity	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/autopilot_dispatch_for_plan_test.go	44	TestDispatchAutopilotForPlanIsIdempotent	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 66
server/cmd/server/autopilot_dispatch_for_plan_test.go	66	TestDispatchAutopilotForPlanIsIdempotent	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 154
server/cmd/server/autopilot_dispatch_for_plan_test.go	172	TestDispatchAutopilotSuppressesRecentDuplicateIssue	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 223
server/cmd/server/autopilot_dispatch_for_plan_test.go	296	TestDispatchAutopilotForPlanRecoversPartialRun	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 318
server/cmd/server/autopilot_dispatch_for_plan_test.go	318	TestDispatchAutopilotForPlanRecoversPartialRun	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 435
server/cmd/server/autopilot_failure_monitor_test.go	35	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_failure_monitor_test.go	81	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_listeners_test.go	20	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_listeners_test.go	61	TestAutopilotRunOnlyTaskTerminalEventsUpdateRun	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 71
server/cmd/server/autopilot_listeners_test.go	71	TestAutopilotRunOnlyTaskTerminalEventsUpdateRun	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 82
server/cmd/server/autopilot_listeners_test.go	82	TestAutopilotRunOnlyTaskTerminalEventsUpdateRun	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 124
server/cmd/server/autopilot_listeners_test.go	124	TestAutopilotRunOnlyTaskTerminalEventsUpdateRun	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 144
server/cmd/server/autopilot_listeners_test.go	177	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_listeners_test.go	209	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_listeners_test.go	374	TestAutopilotDispatchSkipsWhenRuntimeOffline	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 421
server/cmd/server/autopilot_listeners_test.go	463	TestAutopilotCreateIssueDispatchCreatesIssueWhenRuntimeOffline	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 504
server/cmd/server/autopilot_listeners_test.go	504	TestAutopilotCreateIssueDispatchCreatesIssueWhenRuntimeOffline	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 517
server/cmd/server/autopilot_listeners_test.go	575	TestManualTriggerDoesNotErrorOnPostAdmissionSkip	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 604
server/cmd/server/autopilot_schedule_job_test.go	39	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_schedule_job_test.go	55	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_schedule_job_test.go	494	TestAutopilotScheduleJobPausedAutopilotSkipsAtHandler	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 536
server/cmd/server/autopilot_schedule_job_test.go	619	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_schedule_job_test.go	641	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/autopilot_webhook_broadcast_test.go	49	TestAutopilotWebhookTokenIsNotBroadcastToTheWorkspace	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/autopilot_webhook_broadcast_test.go	92	TestAutopilotWebhookTokenIsNotBroadcastToTheWorkspace	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $autopilotID, $triggerID
server/cmd/server/comment_at_least_once_test.go	65	TestConsecutiveCommentsMergeNotDropped	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_at_least_once_test.go	113	TestGetLatestMemberCommentForIssueSince	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_at_least_once_test.go	214	TestMergeCommentIntoPendingTask_RecomputesOriginatorAndSkipsDispatched	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_at_least_once_test.go	342	TestMergeCommentIntoPendingTask_TargetsQueuedNotDeferred	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_attachment_integration_test.go	51	TestUpdateCommentAttachments	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_attachment_integration_test.go	61	TestUpdateCommentAttachments	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_attachment_integration_test.go	82	TestUpdateCommentAttachments	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_attachment_integration_test.go	105	TestUpdateCommentAttachments	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_attachment_integration_test.go	124	TestUpdateCommentAttachments	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $commentID
server/cmd/server/comment_attachment_integration_test.go	142	TestUpdateCommentAttachments	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_attachment_integration_test.go	161	TestUpdateCommentAttachments	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $commentID
server/cmd/server/comment_edit_mention_integration_test.go	14	TestEditCommentTriggers	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_edit_mention_integration_test.go	24	TestEditCommentTriggers	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_edit_mention_integration_test.go	48	TestEditCommentTriggers	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $commentID
server/cmd/server/comment_edit_mention_integration_test.go	75	TestEditCommentTriggers	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_edit_mention_integration_test.go	94	TestEditCommentTriggers	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_edit_mention_integration_test.go	106	TestEditCommentTriggers	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $commentID
server/cmd/server/comment_trigger_integration_test.go	34	?	http.NewRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	160	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	174	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	182	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	196	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	204	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	216	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	240	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/comment_trigger_integration_test.go	286	TestCommentTriggerOnComment	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	426	TestCommentTriggerAtAllSuppression	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	466	TestCommentTriggerOnAssignNoStatusGate	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	473	TestCommentTriggerOnAssignNoStatusGate	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	478	TestCommentTriggerOnAssignNoStatusGate	authRequest	skipped	body_unresolved	body_unresolved
server/cmd/server/comment_trigger_integration_test.go	501	TestCommentTriggerOnMentionNoStatusGate	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	508	TestCommentTriggerOnMentionNoStatusGate	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	531	TestCommentTriggerThreadExplicitMentions	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	651	TestDeleteCommentCancelsTriggeredTasks	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	662	TestDeleteCommentCancelsTriggeredTasks	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $commentID
server/cmd/server/comment_trigger_integration_test.go	681	TestCommentThreadsQueueSeparatelyFromAssignment	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	713	TestCommentTriggerMentionAssigneeDoneIssue	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/comment_trigger_integration_test.go	720	TestCommentTriggerMentionAssigneeDoneIssue	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/composio_callback_public_test.go	25	TestComposioCallbackIsPublic_NoCookieNot401	http.Get	extracted	-	1 fixture(s)
server/cmd/server/composio_callback_public_test.go	52	TestComposioNonCallbackEndpointsStayGated	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/delegated_subscriber_concurrency_test.go	121	TestDelegatedSubscribe_BlocksOnConcurrentSubtreeOptOut	direct_handler	skipped	recorder_var_unresolved	recorder argument 'context.Background()' is not a plain variable
server/cmd/server/delegated_subscriber_concurrency_test.go	199	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/delegated_subscriber_review_test.go	194	TestUnsubscribeSubtreeReportsEveryAffectedIssue	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 214
server/cmd/server/delegated_subscriber_test.go	114	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/delegated_subscriber_test.go	378	TestDelegatedSubscribe_RespectsSubtreeOptOut	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 394
server/cmd/server/inbox_archive_test.go	12	TestArchivedInboxPageAndFacetsThroughRouter	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $path
server/cmd/server/inbox_archive_test.go	25	TestArchivedInboxPageAndFacetsThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	168	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/integration_test.go	175	?	http.NewRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/integration_test.go	212	TestHealth	http.Get	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	232	TestReadinessEndpoints	http.Get	skipped	value_unresolved	fixture needs values the runner cannot bind: $path
server/cmd/server/integration_test.go	263	TestConfigRouteIsPublic	http.Get	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	352	TestSendCodeAndVerify	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	406	TestVerifyCodeNewUserHasNoWorkspace	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	433	TestProtectedRoutesRequireAuth	http.Get	extracted	-	5 fixture(s)
server/cmd/server/integration_test.go	465	TestInvalidJWT	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	485	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	504	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	515	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	531	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	547	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	559	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	566	TestIssuesCRUDThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	577	TestCommentsThroughRouter	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/integration_test.go	585	TestCommentsThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	601	TestCommentsThroughRouter	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/integration_test.go	608	TestCommentsThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	619	TestCommentsThroughRouter	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/integration_test.go	627	TestAgentsThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	639	TestAgentsThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	650	TestAgentsThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	671	TestWorkspacesThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	683	TestWorkspacesThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	694	TestWorkspacesThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	711	TestWorkspacesThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	760	TestDeleteWorkspaceRequiresOwner	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	786	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	792	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	811	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	840	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	873	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	927	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	961	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/integration_test.go	977	TestDingTalkGroupsThroughRouterSupportsFilteredWorkspaceAndAgentScopes	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	987	TestInboxThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	1015	TestInboxUnreadSummaryThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	1042	TestInboxUnreadSummaryThroughRouter	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	1094	?	authRequest	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/integration_test.go	1196	TestUnarchiveInboxPreservesUnread	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $unreadItemID
server/cmd/server/integration_test.go	1236	TestUnarchiveInboxPreservesUnread	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	1276	TestMarkInboxUnreadIsItemScoped	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $newestID
server/cmd/server/integration_test.go	1329	TestMarkInboxUnreadRejectsForeignItem	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $foreignItemID
server/cmd/server/integration_test.go	1358	TestUnarchiveInboxRejectsForeignItem	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $foreignItemID
server/cmd/server/integration_test.go	1404	TestInboxUnreadSummaryDedupesByIssue	authRequest	extracted	-	1 fixture(s)
server/cmd/server/integration_test.go	1426	TestInboxUnreadSummaryDedupesByIssue	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/integration_test.go	1455	TestNonExistentResources	authRequest	skipped	value_unresolved	fixture needs values the runner cannot bind: $tc.path
server/cmd/server/integration_test.go	1467	TestInvalidRequestBodies	authRequest	skipped	ambiguous_status	status comparisons on resp: [400, 500]
server/cmd/server/integration_test.go	1513	TestWebSocketIntegration	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/integration_test.go	1538	TestWebSocketIntegration	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/integration_test.go	1555	TestWebSocketIntegration	authRequest	skipped	no_status_assertion	no status comparison on resp
server/cmd/server/maintenance_test.go	12	TestMaintenanceRoutesAreAbsentFromPublicServer	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/plugin_action_routes_test.go	86	TestPluginActionRouteTrustBoundaries	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/plugin_schedule_pulse_example_test.go	169	TestSchedulePulseExampleManifestDrivesDurableRetry	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/plugin_schedule_pulse_example_test.go	213	TestSchedulePulseExampleManifestDrivesDurableRetry	http.NewRequest	skipped	no_status_assertion	no status comparison on put
server/cmd/server/quick_create_subscriber_test.go	78	TestQuickCreateFailure_DoesNotSubscribeRequester	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 95
server/cmd/server/quick_create_subscriber_test.go	150	TestQuickCreateFailure_SurfacesAgentOutput	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 165
server/cmd/server/quick_create_subscriber_test.go	232	TestQuickCreateLookupFault_WritesUnconfirmedInbox	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 249
server/cmd/server/quick_create_subscriber_test.go	304	TestQuickCreateFailure_RedactsAgentOutput	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 316
server/cmd/server/quick_create_subscriber_test.go	378	TestQuickCreateLookupCancelled_StillWritesUnconfirmedInbox	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 389
server/cmd/server/rerun_session_test.go	752	TestRerunIssueSetsForceFreshSession	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 762
server/cmd/server/rerun_session_test.go	822	TestRerunIssueTargetsSourceTaskAgent	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 845
server/cmd/server/rerun_session_test.go	895	TestRerunIssueRejectsCrossIssueTask	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 906
server/cmd/server/rerun_session_test.go	960	TestRerunIssueInheritsTriggerCommentFromSourceTask	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 980
server/cmd/server/rerun_session_test.go	1001	TestEnqueueTaskForIssueDoesNotForceFreshSession	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 1012
server/cmd/server/retired_session_test.go	269	TestFailTaskClearsPoisonedChatPointer	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 282
server/cmd/server/retired_session_test.go	314	TestFailTaskKeepsChatPointerOnTransientFailure	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 327
server/cmd/server/runtime_sweeper_test.go	176	TestRefreshAgentStatusFromTasks	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 179
server/cmd/server/runtime_sweeper_test.go	179	TestRefreshAgentStatusFromTasks	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 187
server/cmd/server/runtime_sweeper_test.go	187	TestRefreshAgentStatusFromTasks	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 190
server/cmd/server/runtime_sweeper_test.go	190	TestRefreshAgentStatusFromTasks	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 216
server/cmd/server/runtime_sweeper_test.go	244	TestStartTaskSkipsUnchangedAgentStatusWriteAndBroadcast	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 266
server/cmd/server/source_context_actor_integration_test.go	56	TestSourceContextRoutesRejectAuthoritativeTaskToken	http.NewRequest	skipped	no_status_assertion	no status comparison on req
server/cmd/server/subscriber_listeners_test.go	78	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/cmd/server/workspace_scope_guard_test.go	40	TestWorkspaceScopeGuard	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 65
server/cmd/server/workspace_scope_guard_test.go	65	TestWorkspaceScopeGuard	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 75
server/cmd/server/workspace_scope_guard_test.go	75	TestWorkspaceScopeGuard	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 85
server/cmd/server/workspace_scope_guard_test.go	85	TestWorkspaceScopeGuard	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 95
server/cmd/server/workspace_scope_guard_test.go	95	TestWorkspaceScopeGuard	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 121
server/cmd/server/workspace_scope_guard_test.go	121	TestWorkspaceScopeGuard	direct_handler	skipped	no_status_assertion	no `ctx.Code` comparison before line 132
server/internal/handler/activity_test.go	23	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/activity_test.go	40	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/activity_test.go	224	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/admission_security_mul4525_test.go	92	TestSendChatMessage_InvokeRevokedAfterSessionCreate	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/admission_security_mul4525_test.go	150	TestSendChatMessage_InvokeRevokedAfterSessionCreate	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/admission_security_mul4525_test.go	249	TestRerunIssue_PrivateHistoricalAgent	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/admission_security_mul4525_test.go	267	TestRerunIssue_PrivateHistoricalAgent	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_access_test.go	214	TestGetAgent_PrivateAgentForbidsPlainMember	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	228	TestGetAgent_PrivateAgentForbidsPlainMember	direct_handler	skipped	value_unresolved	member identity needs values the runner cannot fabricate: $ownerID
server/internal/handler/agent_access_test.go	235	TestGetAgent_PrivateAgentForbidsPlainMember	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	254	TestListAgents_FiltersPrivateForPlainMember	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	264	TestListAgents_FiltersPrivateForPlainMember	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	295	TestListAgents_SharedAgentCarriesPrivateRuntimeAvailability	testutil.Call	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	336	TestListAgents_SharedAgentCarriesPrivateRuntimeAvailability	testutil.Call	skipped	no_status_assertion	no .Want(...) in the call chain
server/internal/handler/agent_access_test.go	359	TestListAgents_SharedAgentCarriesPrivateRuntimeAvailability	testutil.Call	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	408	TestListAgentTasks_PrivateAgentForbidsPlainMember	direct_handler	skipped	value_unresolved	member identity needs values the runner cannot fabricate: $ownerID
server/internal/handler/agent_access_test.go	414	TestListAgentTasks_PrivateAgentForbidsPlainMember	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	445	TestCreateIssue_AssignToPrivateAgentForbidsPlainMember	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_access_test.go	452	TestCreateIssue_AssignToPrivateAgentForbidsPlainMember	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_access_test.go	461	TestCreateIssue_AssignToPrivateAgentForbidsPlainMember	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_access_test.go	495	TestCreateChatSession_PrivateAgentForbidsPlainMember	direct_handler	skipped	request_var_unresolved	request argument 'req' is not traceable
server/internal/handler/agent_access_test.go	520	TestGetAgent_RejectsForgedAgentIDHeader	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_access_test.go	569	TestListChatMessages_PrivateAgentForbidsAfterAccessRevoked	direct_handler	skipped	request_var_unresolved	request argument 'req' is not traceable
server/internal/handler/agent_activity_outcomes_test.go	23	TestAgentActivityOutcomes	testutil.Call	skipped	request_var_unresolved	request expression is not traceable
server/internal/handler/agent_activity_outcomes_test.go	39	TestAgentActivityOutcomes	testutil.Call	skipped	request_var_unresolved	request expression is not traceable
server/internal/handler/agent_builder_test.go	33	TestCreateAgentBuilderSessionCreatesIsolatedHiddenBuilder	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_builder_test.go	82	TestCreateAgentBuilderSessionCreatesIsolatedHiddenBuilder	direct_handler	extracted	-	1 fixture(s)
server/internal/handler/agent_builder_test.go	100	TestCreateAgentBuilderSessionCreatesIsolatedHiddenBuilder	direct_handler	skipped	value_unresolved	fixture needs values the runner cannot bind: $first.BuilderAgentID
server/internal/handler/agent_builder_test.go	110	TestCreateAgentBuilderSessionCreatesIsolatedHiddenBuilder	direct_handler	skipped	value_unresolved	fixture needs values the runner cannot bind: $first.SessionID
server/internal/handler/agent_builder_test.go	142	TestCreateAgentAttachesSkillsWithoutCreatingAWelcomeChat	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_builder_test.go	180	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/agent_builder_test.go	223	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/agent_builder_test.go	363	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/agent_builder_test.go	430	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/agent_builder_test.go	549	TestDeleteChatSessionPrunesTheBuilderDraft	direct_handler	skipped	value_unresolved	fixture needs values the runner cannot bind: $session.SessionID
server/internal/handler/agent_builder_test.go	622	?	direct_handler	helper_site	-	request built inside a test helper, asserted by its callers
server/internal/handler/agent_builder_test.go	1108	TestDeleteBuilderSessionLocksAgentBeforeTasks	direct_handler	skipped	no_status_assertion	no `w.Code` comparison before line 1139
server/internal/handler/agent_builder_test.go	1185	TestSwitchAgentBuilderRuntimeWaitsForUncommittedSend	direct_handler	skipped	no_status_assertion	no `w.Code` comparison before line 1219
server/internal/handler/agent_builder_test.go	1264	TestSwitchAgentBuilderRuntimeEnforcesRuntimeAndSessionOwnership	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_builder_test.go	1297	TestSwitchAgentBuilderRuntimeEnforcesRuntimeAndSessionOwnership	direct_handler	skipped	body_unresolved	body_unresolved
server/internal/handler/agent_composio_allowlist_test.go	88	TestUpdateAgent_AllowlistRoundtripForOwner	direct_handler	skipped	value_unresolved	member identity needs values the runner cannot fabricate: $ownerID
server/internal/handler/agent_composio_allowlist_test.go	107	TestUpdateAgent_AllowlistRoundtripForOwner	direct_handler	skipped	value_unresolved	member identity needs values the runner cannot fabricate: $ownerID
server/internal/handler/agent_composio_allowlist_test.go	124	TestUpdateAgent_AllowlistRoundtripForOwner	direct_handler	skipped	value_unresolved	member identity needs values the runner cannot fabricate: $ownerID
server/internal/handler/agent_composio_allowlist_test.go	162	TestUpdateAgent_AllowlistSilentlyDroppedForNonOwner	direct_handler	extracted	-	1 fixture(s)
